id,english,french,french 2020-01-20 (MM)
,,,
navtitle,Fit and Plot Species Sensitivity Distributions,Ajustement des courbes de Distribution de la Sensibilit? des Esp?ces,Ajustement et Repr?sentation des courbes de Distribution de la Sensibilit? des Esp?ces
,,,
nav1,1. Data,1. Donn?es,
,,,
nav2,2. Fit,2. Ajustement,
,,,
nav3,3. Predict,3. Estimation,
,,,
nav4,R code,Code R,
,,,
navabout,About,? propos,
,,,
navguide,User Guide,Guide de l?utilisateur,
,,,
1choose,Choose one of the following options:,Choisir l?une des options suivantes :,
,,,
1data,1. Use,1. Utiliser,
,,,
1data2,boron dataset,l?ensemble des donn?es pour le bore,l?ensemble de donn?es pour le bore
,,,
1datahelp,1. This can be used to demo the app or view a dataset that 'works'. ,1. Ces donn?es peuvent ?tre t?l?charg?es pour visualiser un ensemble 'fonctionnel' de donn?es.,
,,,
1csv,2. Upload a csv file,2. T?l?charger un fichier csv,
,,,
1csvhelp,"2. Upload a csv file containing your dataset. The dataset must include a column with at least 8 distinct, positive, non-missing, numeric concentration values. Other useful but optional variables include species and group, which may be used to label and color plot output, respectively. If you have an xls/xlsx file, try exporting a worksheet to csv using excel. ","2. T?l?charger vos donn?es en fichier .csv. L?ensemble des donn?es doit former au moins 1 colonne comportant au minimum 8 concentrations distinctes et positives. Des colonnes pour les esp?ces et les groupes taxonomiques peuvent ?galement ?tre ajout?es. Des ?tiquettes et des couleurs sont alors disponibles pour permettre leur identification dans le graphique. Si vous avez un fichier .xl/.xls, il faut l?exporter dans une feuille de calcul .csv en utilisant Excel. ","2. T?l?charger vos donn?es en fichier .csv. L?ensemble de donn?es doit contenir une colonne comportant au minimum 8 valeurs num?riques de concentrations distinctes, positives et sans valeur manquantes. Il est possible d'ajouter des colonnes pour les esp?ces et les groupes taxonomiques, ce qui est pratique mais optionnel. Des ?tiquettes et des couleurs sont alors disponibles pour permettre leur identification dans le graphique. Si vous avez un fichier .xls/.xlsx, il faut l?exporter dans une feuille de calcul .csv en utilisant Excel. "
,,,
1csvlabel,Upload your data,T?l?charger les donn?es,
,,,
1table,3. Fill out table below:,3. Remplir le tableau ci-dessous:,
,,,
1tablehelp,"3. The table below is interactive and acts like a simple excel spreadsheet. Click on a cell to begin data input. Right-click on the table to delete/insert rows or columns. Column names cannot be changed. The Concentration column must be filled out, with at least 8 distinct, positive, non-missing, numeric values. Species and Group are optional and may be used to format plot outputs. If the table is behaving unexpectedly, please reload the website. ","3. Le tableau ci-dessous est interactif et s?utilise comme une feuille Excel normale. Cliquer sur une cellule pour commencer ? rentrer les donn?es. Faire un clic-droit pour ajouter ou supprimer des colonnes ou des rang?es. Le nom des colonnes ne peut pas ?tre modifi?s.  La colonne concentration doit ?tre remplie avec, au moins, 8 valeurs num?riques positives et distinctes. Aucune valeur manquante. Les colonnes Esp?ces et Groupes sont optionnelles et sont utilis?s pour la mise en forme du graphique. Recharger le site web si des erreurs surviennent dans le tableau.  ","3. Le tableau ci-dessous est interactif et il s?utilise comme une feuille de calcul Excel normale. Cliquer sur une cellule pour commencer ? entrer les donn?es. Faire un clic-droit pour ajouter ou supprimer des colonnes ou des rang?es. Il n'est pas possiible de modifier le nom des colonnes.  La colonne concentration doit ?tre remplie avec au moins 8 valeurs num?riques positives, distinctes et sans valeur manquante. Les colonnes Esp?ces et Groupes sont optionnelles et sont utilis?es pour la mise en forme du graphique. Relancer le site web si des erreurs surviennent dans le tableau.  "
,,,
1note,Note: the app is designed to handle one chemical at a time. Each species should not have more than one concentration value.,Note : L?application est faite pour travailler un contaminant ? la fois. Il n?est pas possible d?entrer plus d?une concentration par esp?ce. ,
,,,
1preview,Preview chosen dataset:,Visualiser les donn?es:,Pr?visualiser l'ensemble de donn?es:
,,,
2conc,Select column with concentration values,S?lectionner la colonne avec les concentrations,S?lectionner la colonne avec les valeurs de concentration
,,,
2dist,Select distributions to fit,S?lectionner des distributions pour l?ajustement,
,,,
2png,Png file formatting options,Option de formatage 'png',
,,,
2plot,Plot fitted distributions,Courbes de distribution ajust?e,Repr?sentation des courbes de distribution ajust?es
,,,
2table,Goodness of Fit table,?valuation de la qualit? de l?ajustement des courbes de distribution,Tableau de l'?valuation de la qualit? de l?ajustement des courbes de distribution
,,,
2weight,weight,coefficient de pond?ration,
,,,
2ploty,Species affected,Esp?ces recens?es,Esp?ces affect?es
,,,
2height,Height,Hauteur,
,,,
2width,Width,Largeur,
,,,
2dpi,Dpi (resolution),Dpi (r?solution),
,,,
2dlplot,Plot .png,Graphique .png,
,,,
2dltable,Table .csv,Tableau .csv,
,,,
3est,Estimate hazard concentration,Estimation de la concentration de risque (Ex. HC5) et de son incertitude associ?e,Estimation de la concentration pr?sentant un risque
,,,
3bshint,"10,000 bootstrap samples recommended",10 000 simulations bootstrap recommand?es,
,,,
3thresh,Threshold (%),Centile s?lectionn? (%),Seuil (%)
,,,
3samples,Bootstrap samples,Simulation bootstrap,Simulations bootstrap
,,,
3label,Label by:,Organiser les ?tiquettes par :,
,,,
3colour,Colour by:,Organiser les couleurs par :,
,,,
3symbol,Symbol by:,Organiser les symboles par :,
,,,
3plotopts,Plot formatting options,Option de formatage des graphiques,Options de formatage du graphique
,,,
3pngopts,Png file formatting options,Option de formatage png,Options de formatage du fichier .png
,,,
3model,Plot model average and estimate hazard concentration,Mod?le agr?g? et estimation du centile s?lectionn? (Ex. HC5) ,Repr?sentation de l'inf?rence multimod?le et estimation de la concentration pr?sentant un risque
,,,
